label,centrality
"[Attribute assignment date (Library of Congress, 4164)]",0.3333333333333333
"[Edges (Library of Congress, 2966)]",0.3333333333333333
[Conservator],0.3333333333333333
[Conservator],0.3333333333333333
"[Outer joints (Library of Congress, 4388_101_01)]",0.3333333333333333
"[Inner joints (Library of Congress, 3968)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Spine (Library of Congress, 2966)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Inner joints (Library of Congress, 3995)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 4318_006)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Edges (Library of Congress, 3027)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Inner joints (Library of Congress, 3994)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 4240)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 4318_005)]",0.3333333333333333
[Conservator],0.3333333333333333
[Conservator],0.3333333333333333
"[Attribute assignment date (Library of Congress, 2247)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 3027)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Attribute assignment date (Library of Congress, 3674)]",0.3333333333333333
"[Edges (Library of Congress, 3968)]",0.3333333333333333
"[Outer joints (Library of Congress, 3994)]",0.3333333333333333
"[Spine (Library of Congress, 3967)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 3994)]",0.3333333333333333
[Conservator],0.3333333333333333
[Conservator],0.3333333333333333
[Conservator],0.3333333333333333
[Conservator],0.3333333333333333
[Conservator],0.3333333333333333
"[Spine (Library of Congress, 4165)]",0.3333333333333333
"[Inner joints (Library of Congress, 3929)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 3824)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 4357_005_001)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Outer joints (Library of Congress, 1657_001)]",0.3333333333333333
"[Edges (Library of Congress, 4247)]",0.3333333333333333
"[Edges (Library of Congress, 3928)]",0.3333333333333333
"[Attribute assignment date (Library of Congress, 3928)]",0.3333333333333333
[Conservator],0.3333333333333333
"[Spine (Library of Congress, 4341)]",0.3333333333333333
"[Outer joints (Library of Congress, 4240)]",0.3333333333333333
"[Spine (Library of Congress, 3928)]",0.3333333333333333
